StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,CF,AC1,AC1_DO,AC2,AC3,AC3_DO,AC4,AC4_DO,AC5,AC5_DO,AC6,AC6_DO,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q3_12,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q5_11,Q5_12,Q5_13,Q5_14,Q5_15,Q5_16,Q5_17,Q5_18,Q5_19,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q7,Q7_3_TEXT,Q8,Q9,Q9_6_TEXT,Q10,Q11,Q11_7_TEXT,Video_DO,Policy_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Consent for Research Participation

 

Title:                                   Emotions and political attitudes

Researcher(s):                   Sarah Dimakis, University of Oregon

                                            Dr. Robert Mauro, University of Oregon

 

Researcher Contact Info: sdimakis@uoregon.edu

 

You are being asked to participate in a research study. The box below highlights key information about this research for you to consider when making a decision whether or not to participate. Carefully consider this information and the more detailed information provided below the box. Please send questions to sdimakis@uoregon.edu about any of the information you do not understand before you decide whether to participate. Use your browser’s print function to make a copy of this form. 

 

Key Information for You to Consider

Voluntary Consent. You are being asked to volunteer for a research study.  It is up to you whether you choose to participate or not.  There will be no penalty or loss of benefits to which you are otherwise entitled if you choose not to participate or discontinue participation.

Purpose. The purpose of this research is to understand the influence that emotions have on voting behavior.

Duration. It is expected that your participation will last 10-15 minutes.

Procedures and Activities. You will be asked to watch a movie clip and then answer a series of questions about policies, your political beliefs, and your personality traits. The movie clips are emotionally evocative, and you may experience negative emotions. You may watch a film clip from either Schindler’s List, Seven, The Blair Witch Project, The Shining, or Blue. You may read about political issues typically in the news, such as climate change, gun violence, or homelessness.

Risks. A foreseeable risk or discomfort of your participation is any negative emotions you may feel from watching a movie and answering questions about yourself and your beliefs.

Benefits. The researchers hope to gain a better understanding of the impact of emotions on political beliefs. In addition, participants will learn about psychological research through participation and the debriefing process. You will be paid $1.50 for completing the survey and passing the attention checks.

Alternatives. Participation is completely voluntary. You may choose to not participate.

 

What happens to the information collected for this research? Information collected for this research will be used to analyze the relationship between emotions and political beliefs. Your name will not be associated with your responses and your responses will be kept confidential.

 

How will my privacy and data confidentiality be protected? We will take measures to protect your privacy including removing your name from all data. 

 

What if I want to stop participating in this research? Taking part in this research study is your decision. Your participation in this study is voluntary. You do not have to take part in this study, but if you do, you can stop at any time.  You have the right to choose not to participate in any study activity or completely withdraw from continued participation at any point in this study without penalty or loss of benefits to which you are otherwise entitled. You will be paid for the amount that you participated. If you do not pass the attention checks, you will be dismissed from participation. Your decision whether or not to participate will not affect your relationship ­­with the researchers or the University of Oregon.

 

Will I be paid for participating in this research? You will be paid for participating in this research.

 

If you experience harm because of the project, you can ask the State of Oregon to pay you. If you have been harmed, there are two University representatives you need to contact. Here are their addresses and phone numbers:

 


	
		
			General Counsel/ Office of the President
			            Research Compliance Services
		
		
			1226 University of Oregon
			            5237 University of Oregon
		
		
			Eugene, OR 97403-1226
			            Eugene, OR 97403-5237
		
		
			(541) 346-3082
			
			            (541) 346-2510

			 
			
		
	


 

A law called the Oregon Tort Claims Act may limit the amount of money you can receive from the State of Oregon if you are harmed.

 

STATEMENT OF CONSENT

I have had the opportunity to read and consider the information in this form. I understand that by signing below, I volunteer to participate in this research.  I understand that I am not waiving any legal rights.",Which of the following sound did you hear in the film clip?,Which of the following sound did you hear in the film clip? - Display Order,What was the man holding in the video clip?,What was the man holding in the video?,What was the man holding in the video? - Display Order,What was in the box?,What was in the box? - Display Order,What did the boy write on the wall?,What did the boy write on the wall? - Display Order,What were the people in the film clip looking for?,What were the people in the film clip looking for? - Display Order,"Rate how
strongly you agree with each statement. - Homelessness is an important issue.","Rate how
strongly you agree with each statement. - We need to pass new legislation regarding homelessness.","Rate how
strongly you agree with each statement. - I would vote for the policy presented.","Rate how
strongly you agree with each statement. - The policy is a good solution to the problem.","Rate how
strongly you agree with each statement. - The policy can be implemented at a reasonable cost.","Rate how
strongly you agree with each statement. - It would be politically possible to implement this policy.","Rate how
strongly you agree with each statement. - The policy would substantially reduce homelessness.","Rate how
strongly you agree with each statement. - The policy would solve the problem.","Rate how
strongly you agree with each statement. - It would be morally justifiable to enact the policy.","Rate how
strongly you agree with each statement. - I would be pleased to see the policy enacted.",Rate to what extent you currently feel... - Interested,Rate to what extent you currently feel... - Distressed,Rate to what extent you currently feel... - Afraid,Rate to what extent you currently feel... - Guilty,Rate to what extent you currently feel... - Angry,Rate to what extent you currently feel... - Disgusted,Rate to what extent you currently feel... - Happy,Rate to what extent you currently feel... - Sad,Rate to what extent you currently feel... - Anxious,Rate to what extent you currently feel... - Calm,Rate to what extent you currently feel... - Surprised,Rate to what extent you currently feel... - Upset,Rate the extent to which you feel positive or negative towards each issue. - Abortion,Rate the extent to which you feel positive or negative towards each issue. - Limited government,Rate the extent to which you feel positive or negative towards each issue. - Military and national security,Rate the extent to which you feel positive or negative towards each issue. - Religion,Rate the extent to which you feel positive or negative towards each issue. - Welfare benefits,Rate the extent to which you feel positive or negative towards each issue. - Gun ownership,Rate the extent to which you feel positive or negative towards each issue. - Traditional marriage,Rate the extent to which you feel positive or negative towards each issue. - Traditional values,Rate the extent to which you feel positive or negative towards each issue. - Fiscal responsibility,Rate the extent to which you feel positive or negative towards each issue. - Business,Rate the extent to which you feel positive or negative towards each issue. - The family unit,Rate the extent to which you feel positive or negative towards each issue. - Patriotism,"Here are a number of personality traits that may or may not apply to you. Please indicate the extent to which you agree or disagree with each statement. You should rate the extent to which the pair of traits applies to you, even if one characteristic applies more strongly than the other. - Extraverted, enthusiastic.","Here are a number of personality traits that may or may not apply to you. Please indicate the extent to which you agree or disagree with each statement. You should rate the extent to which the pair of traits applies to you, even if one characteristic applies more strongly than the other. - Critical, quarrelsome.","Here are a number of personality traits that may or may not apply to you. Please indicate the extent to which you agree or disagree with each statement. You should rate the extent to which the pair of traits applies to you, even if one characteristic applies more strongly than the other. - Dependable, self-disciplined.","Here are a number of personality traits that may or may not apply to you. Please indicate the extent to which you agree or disagree with each statement. You should rate the extent to which the pair of traits applies to you, even if one characteristic applies more strongly than the other. - Anxious, easily upset.","Here are a number of personality traits that may or may not apply to you. Please indicate the extent to which you agree or disagree with each statement. You should rate the extent to which the pair of traits applies to you, even if one characteristic applies more strongly than the other. - Open to new experiences, complex.","Here are a number of personality traits that may or may not apply to you. Please indicate the extent to which you agree or disagree with each statement. You should rate the extent to which the pair of traits applies to you, even if one characteristic applies more strongly than the other. - Reserved, quiet.","Here are a number of personality traits that may or may not apply to you. Please indicate the extent to which you agree or disagree with each statement. You should rate the extent to which the pair of traits applies to you, even if one characteristic applies more strongly than the other. - Sympathetic, warm.","Here are a number of personality traits that may or may not apply to you. Please indicate the extent to which you agree or disagree with each statement. You should rate the extent to which the pair of traits applies to you, even if one characteristic applies more strongly than the other. - Disorganized, careless.","Here are a number of personality traits that may or may not apply to you. Please indicate the extent to which you agree or disagree with each statement. You should rate the extent to which the pair of traits applies to you, even if one characteristic applies more strongly than the other. - Calm, emotionally stable.","Here are a number of personality traits that may or may not apply to you. Please indicate the extent to which you agree or disagree with each statement. You should rate the extent to which the pair of traits applies to you, even if one characteristic applies more strongly than the other. - Conventional, uncreative.",Rate how characteristic of you each statement is. - I prefer complex to simple problems.,Rate how characteristic of you each statement is. - I like to have the responsibility of handling a situation that requires a lot of thinking.,Rate how characteristic of you each statement is. - Thinking is not my idea of fun.,Rate how characteristic of you each statement is. - I would rather do something that requires little thought than something that is sure to challenge my thinking abilities.,Rate how characteristic of you each statement is. - I try to anticipate and avoid situations where there is a likely chance I will have to think in depth about something.,Rate how characteristic of you each statement is. - I find satisfaction in deliberating hard and for long hours.,Rate how characteristic of you each statement is. - I only think as hard as I have to.,Rate how characteristic of you each statement is. - I prefer to think about small daily projects to long term ones.,Rate how characteristic of you each statement is. - I like tasks that require little thought once I've learned them.,Rate how characteristic of you each statement is. - The idea of relying on thought to make my way to the top appeals to me.,Rate how characteristic of you each statement is. - I really enjoy a task that involves coming up with new solutions to problems.,Rate how characteristic of you each statement is. - Learning new ways to think doesn't excite me very much.,Rate how characteristic of you each statement is. - I prefer my life to be filled with puzzles I must solve.,"Rate how characteristic of you each statement is. - Choose ""Uncertain""",Rate how characteristic of you each statement is. - The notion of thinking abstractly is appealing to me.,"Rate how characteristic of you each statement is. - I would prefer a task that is intellectual, difficult, and important to one that is somewhat important but does not require much thought.",Rate how characteristic of you each statement is. - I feel relief rather than satisfaction after completing a task that requires a lot of mental effort.,Rate how characteristic of you each statement is. - It's enough for me that something gets the job done; I don't care how or why it works.,Rate how characteristic of you each statement is. - I usually end up deliberating about issues even when they do not affect me personally.,"Rate how strongly you agree with each statement. - When I want to feel more positive emotion (such as joy or amusement), I change what I'm thinking about.",Rate how strongly you agree with each statement. - I keep my emotions to myself.,"Rate how strongly you agree with each statement. - When I want to feel less negative emotions (such as sadness or anger), I change what I'm thinking about.","Rate how strongly you agree with each statement. - When I am feeling positive emotions, I am careful not to express them.","Rate how strongly you agree with each statement. - When I'm faced with a stressful situation, I make myself think about it in a way that helps me stay calm.",Rate how strongly you agree with each statement. - I control my emotions by not expressing them.,"Rate how strongly you agree with each statement. - When I want to feel more positive emotion, I change the way I'm thinking about the situation.","Rate how strongly you agree with each statement. - Choose ""Agree""",Rate how strongly you agree with each statement. - I control my emotions by changing the way I think about the situation I'm in.,"Rate how strongly you agree with each statement. - When I am feeling negative emotions, I make sure not to express them.","Rate how strongly you agree with each statement. - When I want to feel less negative emotions, I change the way I'm thinking about a situation.",Gender - Selected Choice,Gender - Other - Text,Age,Ethnicity - Selected Choice,Ethnicity - Other: - Text,Political orientation,Political affiliation - Selected Choice,Political affiliation - Other: - Text,Video - Display Order,Policy - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID14""}","{""ImportId"":""QID44""}","{""ImportId"":""QID44_DO""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID47_DO""}","{""ImportId"":""QID48""}","{""ImportId"":""QID48_DO""}","{""ImportId"":""QID49""}","{""ImportId"":""QID49_DO""}","{""ImportId"":""QID50""}","{""ImportId"":""QID50_DO""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID2_4""}","{""ImportId"":""QID2_5""}","{""ImportId"":""QID2_6""}","{""ImportId"":""QID2_7""}","{""ImportId"":""QID2_8""}","{""ImportId"":""QID2_9""}","{""ImportId"":""QID2_10""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID3_5""}","{""ImportId"":""QID3_6""}","{""ImportId"":""QID3_7""}","{""ImportId"":""QID3_8""}","{""ImportId"":""QID3_9""}","{""ImportId"":""QID3_10""}","{""ImportId"":""QID3_11""}","{""ImportId"":""QID3_12""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_6""}","{""ImportId"":""QID4_7""}","{""ImportId"":""QID4_8""}","{""ImportId"":""QID4_9""}","{""ImportId"":""QID4_10""}","{""ImportId"":""QID4_11""}","{""ImportId"":""QID4_12""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID52_2""}","{""ImportId"":""QID52_3""}","{""ImportId"":""QID52_4""}","{""ImportId"":""QID52_5""}","{""ImportId"":""QID52_6""}","{""ImportId"":""QID52_7""}","{""ImportId"":""QID52_8""}","{""ImportId"":""QID52_9""}","{""ImportId"":""QID52_10""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID6_5""}","{""ImportId"":""QID6_6""}","{""ImportId"":""QID6_7""}","{""ImportId"":""QID6_8""}","{""ImportId"":""QID6_9""}","{""ImportId"":""QID6_10""}","{""ImportId"":""QID6_11""}","{""ImportId"":""QID6_12""}","{""ImportId"":""QID6_13""}","{""ImportId"":""QID6_14""}","{""ImportId"":""QID6_15""}","{""ImportId"":""QID6_16""}","{""ImportId"":""QID6_17""}","{""ImportId"":""QID6_18""}","{""ImportId"":""QID6_19""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID7_5""}","{""ImportId"":""QID7_6""}","{""ImportId"":""QID7_7""}","{""ImportId"":""QID7_8""}","{""ImportId"":""QID7_9""}","{""ImportId"":""QID7_10""}","{""ImportId"":""QID7_11""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_3_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_6_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID13""}","{""ImportId"":""QID13_7_TEXT""}","{""ImportId"":""BL_0OineKox9Svlj9j_DO""}","{""ImportId"":""BL_3vD4w64JptyrhSl_DO""}"
9/19/2019 17:29,9/19/2019 17:30,Survey Preview,,100,90,TRUE,9/19/2019 17:30,R_2WwIPDYVndt1ymA,,,,,44.03849792,-123.0614014,preview,EN,I consent to participate in this study.,,,,A gun,A pencil|A phone|A gun|Papers,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V3,S5
9/22/2019 16:27,9/22/2019 16:27,Survey Preview,,100,6,TRUE,9/22/2019 16:27,R_2wnaPXqS7LhKFGF,,,,,44.03849792,-123.0614014,preview,EN,I do not consent to participate in this study.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2019 16:27,9/22/2019 16:30,Survey Preview,,100,180,TRUE,9/22/2019 16:30,R_3R7y3xmHpUI0XPC,,,,,44.03849792,-123.0614014,preview,EN,I consent to participate in this study.,,,,,,,,"""REDRUM""","""SOS""|""REDRUM""|His name|""HAPPY BIRTHDAY""",,,Disagree,Disagree,Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,80,0,0,0,40,0,0,0,50,0,90,0,Agree moderately,Agree moderately,Agree a little,Agree moderately,Agree moderately,Agree moderately,Agree a little,Agree moderately,Agree moderately,Agree moderately,Somewhat characteristic of me,Uncertain,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Uncertain,Uncertain,Somewhat characteristic of me,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Somewhat characteristic of me,Somewhat characteristic of me,Uncertain,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Female,,24,Caucasian or White,,Moderately liberal,Democratic Party,,V5,S7
9/22/2019 16:38,9/22/2019 16:39,Survey Preview,,100,29,TRUE,9/22/2019 16:39,R_31AFEOOeUMXlkCu,,,,,44.03849792,-123.0614014,preview,EN,I consent to participate in this study.,,,,,,A bloody knife,A gun|A head|Pig blood|A bloody knife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V4,
9/22/2019 16:59,9/22/2019 17:02,IP Address,99.56.221.155,100,180,TRUE,9/22/2019 17:02,R_3qxTSmeNrGHbDYK,,,,,26.27290344,-80.26000214,anonymous,EN,I consent to participate in this study.,A car honking,A cow mooing|A street vender talking|A car honking|Coins going into a vending machine,,,,,,,,,,Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Very slightly or not at all,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Quite a bit,Extremely,Very slightly or not at all,Very slightly or not at all,Moderately,70,30,30,30,80,20,20,20,20,60,60,20,Disagree moderately,Agree moderately,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree moderately,Agree moderately,Neither agree nor disagree,Agree moderately,Neither agree nor disagree,Somewhat uncharacteristic of me,Uncertain,Extremely uncharacteristic of me,Uncertain,Uncertain,Somewhat uncharacteristic of me,Somewhat characteristic of me,Uncertain,Uncertain,Somewhat uncharacteristic of me,Uncertain,Somewhat characteristic of me,Somewhat uncharacteristic of me,Uncertain,Uncertain,Uncertain,Somewhat characteristic of me,Somewhat characteristic of me,Uncertain,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Male,,25,Caucasian or White,,Moderate,Democratic Party,,V1,S5
9/22/2019 17:00,9/22/2019 17:03,IP Address,24.44.124.254,100,208,TRUE,9/22/2019 17:03,R_25ut85amIrza4rS,,,,,40.55110168,-74.46060181,anonymous,EN,I consent to participate in this study.,,,Papers,,,,,,,,,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,A little,A little,Very slightly or not at all,A little,Moderately,A little,Very slightly or not at all,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,90,60,20,20,40,10,30,20,60,20,20,20,Agree a little,Neither agree nor disagree,Disagree a little,Neither agree nor disagree,Disagree a little,Disagree moderately,Disagree moderately,Disagree a little,Neither agree nor disagree,Disagree a little,Somewhat characteristic of me,Uncertain,Somewhat uncharacteristic of me,Uncertain,Uncertain,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Uncertain,Somewhat characteristic of me,Uncertain,Somewhat uncharacteristic of me,Uncertain,Uncertain,Uncertain,Somewhat characteristic of me,Somewhat characteristic of me,Uncertain,Somewhat uncharacteristic of me,Uncertain,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Male,,25,Caucasian or White,,Moderate,Democratic Party,,V2,S4
9/22/2019 17:00,9/22/2019 17:04,IP Address,73.255.138.151,100,242,TRUE,9/22/2019 17:04,R_3n6su0jxiAKcIOV,,,,,27.26359558,-82.51709747,anonymous,EN,I consent to participate in this study.,,,,,,,,,,Josh,A camera|Josh|Their keys|Their dog,Strongly agree,Agree,Agree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,Very slightly or not at all,A little,A little,Very slightly or not at all,Very slightly or not at all,60,40,10,0,90,50,20,10,10,10,10,0,Disagree moderately,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Agree moderately,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Disagree moderately,Uncertain,Somewhat characteristic of me,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Uncertain,Uncertain,Somewhat characteristic of me,Uncertain,Extremely characteristic of me,Somewhat characteristic of me,Somewhat uncharacteristic of me,Uncertain,Uncertain,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat uncharacteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Male,,25,Caucasian or White,,Extremely liberal,No party,,V6,S4
9/22/2019 17:00,9/22/2019 17:05,IP Address,174.17.114.123,100,295,TRUE,9/22/2019 17:05,R_3fODrBfKutki9y5,,,,,33.49169922,-111.9837036,anonymous,EN,I consent to participate in this study.,,,Papers,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Moderately,Very slightly or not at all,Very slightly or not at all,0,100,100,30,100,70,90,100,100,100,100,100,Disagree strongly,Disagree strongly,Disagree strongly,Agree a little,Disagree strongly,Agree moderately,Agree strongly,Agree moderately,Agree moderately,Agree moderately,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Extremely characteristic of me,Extremely uncharacteristic of me,Extremely characteristic of me,Extremely characteristic of me,Somewhat characteristic of me,Somewhat uncharacteristic of me,Extremely characteristic of me,Uncertain,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Extremely uncharacteristic of me,Extremely characteristic of me,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Male,,27,Caucasian or White,,Moderate,Republican Party,,V2,S3
